Title,Category
I'm able to do the work. I will accomplish without any help. I am confident about it.,1
Ambition can help you to grow.,1
I am grateful enough to him for helping me. His kindness make him loveable. He way he shares his belongings with me is really warming,2
"My intelligence ang leadership ability will be able to overcome this problem. I am expert in this field and did and outstanding performance before. So, I'm Confident about that face that I will do an oustanding result.",1
Our manager is really organized and powerful. His professional behavior make us proud.,1
This boy has a logical skill to solve any complex problem. He did an outstanding performance before. He will be sucessfull soon.,1
"Their decision can bring justice, They have a merciful and loving attitude towards other. Their sense of humor is praiseworthy.",2
She is a powerful and independent girl. She has discovered a lot of things. She is excellent in management and leadership.,1
Our neighbor is very gentle and polite. They genuinely help others. Their loving behavior keep everyone united,2
I'm really close to her. I love her polite and helpful behavior. We discuss about our family and friends. They are very hospitable in nature,2
She is learning how to teach. She is a good team player. Their team work together and trust each other.,2
We are discussing about the welfare of out team. We are teaching people how to talk with sympathy. Our squad is sharing mutual resepect and rituals.,2
"Her roommate is very loveable and open minded. She offers me tea yesterday, She cares others roomate a lot. We lover her for this behavior",2
"She is establishing herself with a lot of effort. She is a powerful women, Her deep insight and goal-oriented mentality will allow her to overcome this barriers",1